id,user_id,module_id,question_id,difficulty,is_correct,time_taken,attempted_at
301,1,22,5702,easy,0,41.0,2025-08-20 21:38:59
302,1,22,6023,easy,1,3.0,2025-08-20 21:38:59
303,1,22,5804,medium,1,2.0,2025-08-20 21:38:59
304,1,22,5675,hard,0,2.0,2025-08-20 21:38:59
305,1,22,5908,medium,1,2.0,2025-08-20 21:38:59
306,1,22,5852,hard,1,3.0,2025-08-20 21:39:00
307,1,22,5826,hard,0,2.0,2025-08-20 21:39:00
308,1,22,6029,medium,0,3.0,2025-08-20 21:39:00
309,1,22,5781,easy,0,4.0,2025-08-20 21:39:00
310,1,22,5661,easy,1,5.0,2025-08-20 21:39:00
311,1,22,5898,easy,1,2.0,2025-08-20 21:41:14
312,1,22,5746,medium,0,2.0,2025-08-20 21:41:14
313,1,22,5901,easy,0,2.0,2025-08-20 21:41:14
314,1,22,5869,easy,0,2.0,2025-08-20 21:41:14
315,1,22,5683,easy,0,2.0,2025-08-20 21:41:14
316,1,22,5882,easy,0,4.0,2025-08-20 21:41:14
317,1,22,5820,easy,0,8.0,2025-08-20 21:41:14
318,1,22,5936,easy,0,3.0,2025-08-20 21:41:14
319,1,22,6039,easy,0,3.0,2025-08-20 21:41:14
320,1,22,6049,easy,0,3.0,2025-08-20 21:41:14
321,1,22,6039,easy,0,2.0,2025-08-20 21:51:07
322,1,22,6054,easy,1,2.0,2025-08-20 21:51:07
323,1,22,6006,medium,0,2.0,2025-08-20 21:51:07
324,1,22,6063,easy,0,4.0,2025-08-20 21:51:07
325,1,22,5761,easy,0,3.0,2025-08-20 21:51:07
326,1,22,5664,easy,0,2.0,2025-08-20 21:51:07
327,1,22,6019,easy,0,2.0,2025-08-20 21:51:07
328,1,22,5681,easy,1,5.0,2025-08-20 21:51:07
329,1,22,6024,medium,0,3.0,2025-08-20 21:51:07
330,1,22,5848,easy,0,3.0,2025-08-20 21:51:07
331,1,22,5918,easy,0,5.0,2025-08-20 21:53:59
332,1,22,5879,easy,0,3.0,2025-08-20 21:53:59
333,1,22,6065,easy,0,2.0,2025-08-20 21:53:59
334,1,22,5906,easy,0,4.0,2025-08-20 21:53:59
335,1,22,5869,easy,0,2.0,2025-08-20 21:53:59
336,1,22,5830,easy,0,2.0,2025-08-20 21:53:59
337,1,22,5741,easy,0,2.0,2025-08-20 21:53:59
338,1,22,5936,easy,0,3.0,2025-08-20 21:53:59
